ClientID,Product,Longitude,Latitude
1,16,-74.14467006218128,4.710743398788686
2,15,-74.14362921498622,4.566308259221117
3,18,-74.03606194453637,4.755399248297806
4,20,-74.06968135672757,4.561070803936262
5,10,-74.10825606814973,4.703705636138744
6,20,-74.03054098395761,4.697554773105059
7,19,-74.08131302473933,4.668945057916611
8,14,-74.10924057631073,4.675777476405624
9,15,-74.17048531343063,4.639454257434001
10,16,-74.10435943551812,4.572050149741606
11,18,-74.09203020117447,4.55011508708845
12,13,-74.08197372290216,4.57760566460712
13,16,-74.08962511781289,4.777614450703637
14,16,-74.07745288336909,4.696137688932328
15,11,-74.13570054160313,4.727247608841783
16,18,-74.15345188357989,4.5675659891701335
17,18,-74.13077763112409,4.593030334163221
18,18,-74.1227052699045,4.636423576058611
19,13,-74.10951981261685,4.6050996977309815
20,13,-74.14056167962116,4.622747449738512
21,18,-74.08277751168245,4.644891585379307
22,20,-74.1153463790009,4.60226544228451
23,17,-74.1523449770799,4.618245405485506
24,16,-74.11999328740032,4.576109904762759
25,8,-74.09700175813764,4.627604752581942
26,14,-74.16664539881006,4.576558334141863
27,8,-74.10893745454102,4.602029797596311
28,12,-74.0537230892104,4.725336243507124
29,14,-74.12101387869001,4.703437340034018
30,20,-74.14693451451951,4.717932120711847
31,15,-74.11367245169906,4.689225401535074
32,10,-74.02908249569916,4.766432924289417
33,18,-74.1042266238021,4.618144548252437
34,13,-74.12636043895036,4.560479928556737
35,14,-74.10074081474751,4.6386572150754
36,15,-74.11190351432941,4.693008431122993
37,20,-74.04189532881865,4.754660123656009
38,15,-74.1369103871936,4.637531314398114
39,17,-74.14976745461706,4.643711245156473
40,9,-74.08502057636977,4.770345189672976
41,15,-74.03462024125668,4.766478260236645
42,17,-74.1266355844992,4.654032616099026
43,17,-74.03548345850527,4.753145707709614
44,10,-74.04809180758426,4.71903736829523
45,6,-74.09729107388223,4.680077672704325
46,20,-74.14202827670547,4.545515395678939
47,14,-74.06797368018577,4.561063528937603
48,14,-74.08327518718474,4.579416758193501
49,12,-74.04059006026496,4.750882780542505
50,16,-74.14969329300176,4.576411060062352
